Park Name,Classificaiton,County,acres,Year Established,remarks
Tolowa Dunes State Park,State park,Del Norte,"4,399",1983,
Tomales Bay State Park,State park,Marin,"2,443",1950,Open underNational Park Servicemanagement
Tomo-Kahni State Historic Park,State historic park,Kern,560,1993,
Topanga State Park,State park,Los Angeles,"12,666",1967,
Torrey Pines State Beach,State beach,San Diego,61,1952,
Torrey Pines State Natural Reserve,State natural reserve,San Diego,"1,461",1952,
Trinidad State Beach,State beach,Humboldt,159,1937,
Trione-Annadel State Park,State park,Sonoma,"5,092",1971,Supports a variety of day-use activities at the northern end ofSonoma Valley.[137]
Tule Elk State Natural Reserve,State natural reserve,Kern,984,1932,
Turlock Lake State Recreation Area,State recreation area,Stanislaus,"3,559",1950,
Twin Lakes State Beach,State beach,Santa Cruz,95,1955,
Van Damme State Park,State park,Mendocino,"2,336",1932,"Preserves beach, bog, and apygmy foreston the site of a former redwood lumbering settlement.[138]The pygmy forest is aNational Natural Landmark.[139]"
Verdugo Mountains,Park property,Los Angeles,251,1984,
Ward Creek Project,Park property,Placer,173,1978,
Washoe Meadows State Park,State park,El Dorado,628,1985,
Wassama Round House State Historic Park,State historic park,Madera,27,1978,
Watts Towers of Simon Rodia State Historic Park,State historic park,Los Angeles,0.11,1978,
Weaverville Joss House State Historic Park,State historic park,Trinity,2.8,1956,
Westport-Union Landing State Beach,State beach,Mendocino,58,1952,
Wilder Ranch State Park,State park,Santa Cruz,"8,342",1974,
Wildwood Canyon,Park property,Riverside,856,2002,In development
Will Rogers State Beach,State beach,Los Angeles,82,1931,
Will Rogers State Historic Park,State historic park,Los Angeles,189,1944,
William B. Ide Adobe State Historic Park,State historic park,Tehama,3.9,1951,
Woodland Opera House State Historic Park,State historic park,Yolo,0.26,1980,
Woodson Bridge State Recreation Area,State recreation area,Tehama,323,1959,
Zmudowski State Beach,State beach,MontereyandSanta Cruz,194,1950,
